信用卡编号,阈值编号,通过率,坏账率,最终收入
1,1,0.76,0.013,50129.600000000006
1,2,0.77,0.015,49126.0
1,3,0.78,0.017,48079.2
1,4,0.8,0.024,43264.0
1,5,0.82,0.026,42574.4
1,6,0.84,0.028,41798.4
1,7,0.87,0.03,41412.0
1,8,0.93,0.036,38241.600000000006
1,9,0.94,0.043,31546.399999999998
1,10,0.96,0.052,22886.4
2,1,0.72,0.032,32716.8
2,2,0.73,0.038,28440.800000000003
2,3,0.76,0.05,19759.999999999996
2,4,0.77,0.053,17525.2
2,5,0.79,0.065,7741.999999999992
2,6,0.82,0.074,65.59999999999732
2,7,0.86,0.076,-1788.7999999999988
2,8,0.87,0.079,-4628.400000000004
2,9,0.91,0.08,-5824.000000000003
2,10,0.92,0.084,-9862.400000000007
3,1,0.8,0.012,53632.0
3,2,0.82,0.013,54087.200000000004
3,3,0.83,0.024,44886.4
3,4,0.86,0.04,31648.0
3,5,0.89,0.042,30829.6
3,6,0.92,0.057,16964.8
3,7,0.93,0.068,6100.7999999999965
3,8,0.94,0.069,5151.199999999986
3,9,0.97,0.07,4267.999999999987
3,10,0.98,0.073,1136.8000000000081
4,1,0.79,0.004,59787.2
4,2,0.8,0.007,57952.0
4,3,0.81,0.011,55177.2
4,4,0.84,0.017,51777.6
4,5,0.85,0.028,42296.0
4,6,0.87,0.04,32016.0
4,7,0.88,0.046,26681.6
4,8,0.9,0.051,22428.000000000004
4,9,0.92,0.052,21932.8
4,10,0.93,0.059,15140.400000000003
5,1,0.7,0.009,49196.00000000001
5,2,0.76,0.015,48488.0
5,3,0.77,0.025,40810.0
5,4,0.79,0.03,37604.0
5,5,0.81,0.035,34181.99999999999
5,6,0.83,0.042,28751.199999999997
5,7,0.87,0.047,25438.799999999996
5,8,0.88,0.055,18128.0
5,9,0.91,0.066,7935.1999999999925
5,10,0.94,0.071,3120.8000000000034
6,1,0.7,0.033,31051.999999999996
6,2,0.71,0.037,28428.399999999998
6,3,0.73,0.042,25287.199999999997
6,4,0.82,0.045,25747.999999999996
6,5,0.83,0.058,14408.800000000001
6,6,0.89,0.064,9683.2
6,7,0.9,0.072,2016.0000000000052
6,8,0.91,0.074,72.79999999999703
6,9,0.92,0.075,-920.0000000000008
6,10,0.94,0.077,-2970.3999999999965
7,1,0.73,0.016,45785.6
7,2,0.74,0.021,42416.799999999996
7,3,0.75,0.022,42180.0
7,4,0.78,0.032,35443.200000000004
7,5,0.79,0.047,23099.599999999995
7,6,0.84,0.05,21839.999999999996
7,7,0.87,0.058,15103.2
7,8,0.9,0.067,6875.9999999999945
7,9,0.91,0.078,-3858.400000000007
7,10,0.95,0.079,-5054.0000000000055
8,1,0.79,0.01,54668.0
8,2,0.88,0.013,58044.8
8,3,0.89,0.016,55820.799999999996
8,4,0.9,0.017,55476.0
8,5,0.93,0.032,42259.200000000004
8,6,0.94,0.036,38652.8
8,7,0.96,0.039,36364.799999999996
8,8,0.97,0.047,28362.799999999996
8,9,0.98,0.069,5370.399999999985
8,10,0.99,0.07,4355.999999999987
9,1,0.75,0.01,51900.0
9,2,0.76,0.011,51771.2
9,3,0.78,0.015,49764.0
9,4,0.84,0.021,48148.799999999996
9,5,0.85,0.026,44132.0
9,6,0.87,0.032,39532.8
9,7,0.88,0.041,31433.599999999995
9,8,0.89,0.046,26984.8
9,9,0.93,0.048,26188.8
9,10,0.96,0.051,23923.200000000004
10,1,0.73,0.012,48939.200000000004
10,2,0.74,0.018,44814.4
10,3,0.76,0.019,45204.8
10,4,0.77,0.025,40810.0
10,5,0.8,0.04,29440.0
10,6,0.82,0.052,19548.8
10,7,0.87,0.055,17922.0
10,8,0.88,0.057,16227.199999999999
10,9,0.89,0.059,14489.200000000003
10,10,0.9,0.063,10763.999999999998
11,1,0.75,0.007,54330.0
11,2,0.78,0.011,53133.6
11,3,0.82,0.023,45231.2
11,4,0.83,0.028,41300.799999999996
11,5,0.86,0.03,40936.0
11,6,0.88,0.033,39036.799999999996
11,7,0.92,0.037,36836.799999999996
11,8,0.94,0.045,29515.999999999996
11,9,0.96,0.049,25996.799999999992
11,10,0.97,0.05,25219.999999999996
12,1,0.71,0.012,47598.4
12,2,0.72,0.028,35827.2
12,3,0.77,0.029,37483.6
12,4,0.78,0.038,30388.800000000003
12,5,0.82,0.039,31061.6
12,6,0.86,0.058,14929.6
12,7,0.88,0.063,10524.8
12,8,0.9,0.068,5903.999999999996
12,9,0.91,0.07,4003.999999999988
12,10,0.93,0.087,-12982.8
13,1,0.8,0.012,53632.0
13,2,0.82,0.023,45231.2
13,3,0.84,0.03,39984.0
13,4,0.88,0.034,38086.4
13,5,0.9,0.035,37979.99999999999
13,6,0.92,0.037,36836.799999999996
13,7,0.93,0.056,18153.599999999995
13,8,0.95,0.06,14440.000000000005
13,9,0.96,0.064,10444.800000000001
13,10,0.99,0.077,-3128.399999999996
14,1,0.75,0.006,55140.0
14,2,0.76,0.007,55054.4
14,3,0.77,0.014,49957.59999999999
14,4,0.82,0.024,44345.600000000006
14,5,0.84,0.028,41798.4
14,6,0.85,0.033,37706.0
14,7,0.88,0.034,38086.4
14,8,0.92,0.035,38823.99999999999
14,9,0.93,0.042,32215.199999999997
14,10,0.95,0.053,21622.000000000004
15,1,0.72,0.027,36604.799999999996
15,2,0.74,0.031,34424.799999999996
15,3,0.78,0.032,35443.200000000004
15,4,0.79,0.04,29072.0
15,5,0.82,0.043,27519.2
15,6,0.86,0.046,26075.2
15,7,0.9,0.047,26315.999999999996
15,8,0.92,0.053,20939.2
15,9,0.93,0.077,-2938.7999999999965
15,10,0.94,0.083,-9061.60000000001
16,1,0.71,0.003,54499.6
16,2,0.78,0.005,58188.0
16,3,0.8,0.011,54496.0
16,4,0.84,0.041,30004.799999999996
16,5,0.86,0.047,25146.399999999994
16,6,0.87,0.048,24499.199999999997
16,7,0.9,0.054,19511.999999999996
16,8,0.91,0.056,17763.199999999997
16,9,0.94,0.068,6166.399999999997
16,10,0.97,0.073,1125.200000000008
17,1,0.72,0.012,48268.8
17,2,0.73,0.023,40266.8
17,3,0.76,0.033,33713.6
17,4,0.77,0.038,29999.2
17,5,0.82,0.039,31061.6
17,6,0.83,0.05,21579.999999999996
17,7,0.84,0.053,19118.4
17,8,0.88,0.073,1020.8000000000072
17,9,0.91,0.077,-2875.5999999999963
17,10,0.92,0.079,-4894.400000000005
18,1,0.79,0.015,50402.0
18,2,0.8,0.022,44992.0
18,3,0.81,0.03,38556.0
18,4,0.84,0.031,39076.799999999996
18,5,0.85,0.034,36788.0
18,6,0.86,0.038,33505.6
18,7,0.89,0.044,28907.2
18,8,0.9,0.059,14652.000000000002
18,9,0.97,0.065,9505.999999999989
18,10,0.99,0.076,-2059.1999999999985
19,1,0.77,0.008,54947.200000000004
19,2,0.78,0.013,51448.8
19,3,0.82,0.014,53201.59999999999
19,4,0.86,0.016,53939.2
19,5,0.9,0.022,50616.0
19,6,0.91,0.023,50195.6
19,7,0.92,0.047,26900.799999999996
19,8,0.93,0.048,26188.8
19,9,0.96,0.056,18739.199999999997
19,10,0.97,0.058,16839.2
20,1,0.7,0.034,30296.0
20,2,0.71,0.046,21527.2
20,3,0.76,0.049,20580.799999999996
