排名,卡片1,卡片2,卡片3,阈值1,阈值2,阈值3,总平均通过率,总平均坏账率,最终收入
1,49,4,54,1,1,2,0.7966666666666665,0.004333333333333334,60004.93333333332
2,49,4,73,1,1,1,0.8099999999999999,0.005666666666666667,59842.8
3,49,4,8,1,1,2,0.83,0.007333333333333333,59826.4
4,49,4,16,1,1,2,0.7966666666666665,0.004666666666666667,59718.133333333324
5,49,54,73,1,2,1,0.8066666666666666,0.005666666666666667,59596.53333333333
6,49,54,8,1,2,2,0.8266666666666667,0.007333333333333333,59586.13333333333
7,49,4,74,1,1,1,0.7866666666666666,0.004,59534.93333333333
8,49,4,83,1,1,1,0.8133333333333334,0.006333333333333334,59503.466666666674
9,49,4,91,1,1,1,0.79,0.004333333333333334,59502.799999999996
10,49,4,69,1,1,1,0.7933333333333333,0.004666666666666667,59468.26666666667
11,49,54,16,1,2,2,0.7933333333333333,0.004666666666666667,59468.26666666667
12,49,4,81,1,1,1,0.7966666666666665,0.005,59431.33333333332
13,49,4,21,1,1,2,0.7999999999999999,0.005333333333333333,59391.99999999999
14,49,73,8,1,1,2,0.84,0.008666666666666668,59337.6
15,49,73,16,1,1,2,0.8066666666666666,0.006000000000000001,59306.13333333333
16,49,16,8,1,2,2,0.8266666666666667,0.007666666666666666,59288.53333333333
17,49,54,74,1,2,1,0.7833333333333333,0.004,59282.666666666664
18,49,4,68,1,1,2,0.8099999999999999,0.006333333333333334,59259.600000000006
19,49,54,83,1,2,1,0.81,0.006333333333333334,59259.600000000006
20,49,54,91,1,2,1,0.7866666666666667,0.004333333333333334,59251.73333333334
